IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.238.235.196,2087,80,FALSE,SYD,Oceania,Sydney,103,50
13.55.59.224,2095,80,FALSE,SYD,Oceania,Sydney,103,50
54.252.91.41,2052,80,FALSE,SYD,Oceania,Sydney,106,50
13.238.235.196,2082,80,FALSE,SYD,Oceania,Sydney,106,50
65.0.144.242,2082,80,FALSE,BOM,Asia Pacific,Mumbai,106,50
13.236.104.165,2053,80,FALSE,SYD,Oceania,Sydney,108,50
13.236.104.165,2095,80,FALSE,SYD,Oceania,Sydney,111,50
13.54.173.154,2096,80,FALSE,SYD,Oceania,Sydney,113,50
15.165.63.136,2095,80,FALSE,ICN,Asia Pacific,Seoul,113,50
54.251.118.130,2052,80,FALSE,SIN,Asia Pacific,Singapore,115,50
13.54.173.154,2082,80,FALSE,SYD,Oceania,Sydney,115,50
13.236.104.165,2096,80,FALSE,SYD,Oceania,Sydney,115,50
13.236.104.165,2082,80,FALSE,SYD,Oceania,Sydney,117,50
15.165.63.136,2052,80,FALSE,ICN,Asia Pacific,Seoul,118,50
54.252.91.41,2086,80,FALSE,SYD,Oceania,Sydney,121,50
65.0.144.242,2087,80,FALSE,BOM,Asia Pacific,Mumbai,124,50
13.54.173.154,2095,80,FALSE,SYD,Oceania,Sydney,128,50
54.252.91.41,2082,80,FALSE,SYD,Oceania,Sydney,131,50
13.54.81.122,2052,80,FALSE,SYD,Oceania,Sydney,132,50
54.79.10.40,2095,80,FALSE,SYD,Oceania,Sydney,132,50
15.165.63.136,2053,80,FALSE,ICN,Asia Pacific,Seoul,136,50
13.55.59.224,2082,80,FALSE,SYD,Oceania,Sydney,137,50
54.252.91.41,2087,80,FALSE,SYD,Oceania,Sydney,138,50
13.54.173.154,2053,80,FALSE,SYD,Oceania,Sydney,139,50
54.251.118.130,2082,80,FALSE,SIN,Asia Pacific,Singapore,142,50
13.114.59.37,2052,80,FALSE,NRT,Asia Pacific,Tokyo,143,50
13.236.104.165,2086,80,FALSE,SYD,Oceania,Sydney,151,50
13.55.59.224,2086,80,FALSE,SYD,Oceania,Sydney,158,50
13.55.59.224,2052,80,FALSE,SYD,Oceania,Sydney,159,50
13.36.24.111,2087,80,FALSE,CDG,Europe,Paris,160,50
